================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
 5665 Ghaziabad (Vasundhara)     pm25   fold_1_stubble_oct_nov_2025      D+3      68.72    0.369
 5665 Ghaziabad (Vasundhara)     pm25   fold_2                           D+2      69.84    0.520
 5665 Ghaziabad (Vasundhara)     pm25   fold_2                           D+3      69.14    0.527
 5665 Ghaziabad (Vasundhara)     pm25   fold_3                           D+2      45.04    0.375
 5665 Ghaziabad (Vasundhara)     pm25   fold_3                           D+3      44.76    0.379
 5665 Ghaziabad (Vasundhara)     pm25   holdout_120d                     D+2      17.96    0.004
 5665 Ghaziabad (Vasundhara)     pm25   holdout_120d                     D+3      17.82    0.014
 5665 Ghaziabad (Vasundhara)     pm10   fold_1_stubble_oct_nov_2025      D+2     114.96    0.341
 5665 Ghaziabad (Vasundhara)     pm10   fold_1_stubble_oct_nov_2025      D+3     110.72    0.359
 5665 Ghaziabad (Vasundhara)     pm10   fold_2                           D+2     106.70    0.435
 5665 Ghaziabad (Vasundhara)     pm10   fold_2                           D+3     104.40    0.459
 5665 Ghaziabad (Vasundhara)     pm10   fold_3                           D+2      90.64   -0.086
 5665 Ghaziabad (Vasundhara)     pm10   fold_3                           D+3      89.30   -0.062
 5665 Ghaziabad (Vasundhara)     pm10   holdout_120d                     D+2      80.58   -0.006
 5665 Ghaziabad (Vasundhara)     pm10   holdout_120d                     D+3      80.91   -0.023
 5665 Ghaziabad (Vasundhara)     no2    fold_1_stubble_oct_nov_2025      D+2      24.91    0.707
 5665 Ghaziabad (Vasundhara)     no2    fold_1_stubble_oct_nov_2025      D+3      27.44    0.639
 5665 Ghaziabad (Vasundhara)     no2    fold_2                           D+2      22.07    0.689
 5665 Ghaziabad (Vasundhara)     no2    fold_2                           D+3      24.22    0.627
 5665 Ghaziabad (Vasundhara)     no2    fold_3                           D+2      19.19   -0.233
 5665 Ghaziabad (Vasundhara)     no2    fold_3                           D+3      20.13   -0.358
 5665 Ghaziabad (Vasundhara)     no2    holdout_120d                     D+2      13.11    0.053
 5665 Ghaziabad (Vasundhara)     no2    holdout_120d                     D+3      13.41   -0.044
 5665 Ghaziabad (Vasundhara)     o3     fold_1_stubble_oct_nov_2025      D+2      20.34   -1.211
 5665 Ghaziabad (Vasundhara)     o3     fold_1_stubble_oct_nov_2025      D+3      19.33   -0.990
 5665 Ghaziabad (Vasundhara)     o3     fold_2                           D+2      19.88   -0.677
 5665 Ghaziabad (Vasundhara)     o3     fold_2                           D+3      19.45   -0.599
 5665 Ghaziabad (Vasundhara)     o3     fold_3                           D+2      16.62    0.527
 5665 Ghaziabad (Vasundhara)     o3     fold_3                           D+3      16.70    0.527
 5665 Ghaziabad (Vasundhara)     o3     holdout_120d                     D+2      17.02    0.324
 5665 Ghaziabad (Vasundhara)     o3     holdout_120d                     D+3      18.23    0.201
 5665 Ghaziabad (Vasundhara)     so2    fold_1_stubble_oct_nov_2025      D+2      16.77   -0.390
 5665 Ghaziabad (Vasundhara)     so2    fold_1_stubble_oct_nov_2025      D+3      15.99   -0.177
 5665 Ghaziabad (Vasundhara)     so2    fold_2                           D+2      18.99   -0.444
 5665 Ghaziabad (Vasundhara)     so2    fold_2                           D+3      17.77   -0.254
 5665 Ghaziabad (Vasundhara)     so2    fold_3                           D+2      20.52   -0.011
 5665 Ghaziabad (Vasundhara)     so2    fold_3                           D+3      20.92   -0.054
 5665 Ghaziabad (Vasundhara)     so2    holdout_120d                     D+2       8.63   -0.305
 5665 Ghaziabad (Vasundhara)     so2    holdout_120d                     D+3       8.21   -0.335
 6358 Mandir Marg                pm25   fold_1_stubble_oct_nov_2025      D+2      82.52    0.189
 6358 Mandir Marg                pm25   fold_1_stubble_oct_nov_2025      D+3      81.81    0.189
 6358 Mandir Marg                pm25   fold_2                           D+2      73.16    0.248
 6358 Mandir Marg                pm25   fold_2                           D+3      71.32    0.285
 6358 Mandir Marg                pm25   fold_3                           D+2      36.34   -0.214
 6358 Mandir Marg                pm25   fold_3                           D+3      36.88   -0.244
 6358 Mandir Marg                pm25   holdout_120d                     D+2      18.99   -0.592
 6358 Mandir Marg                pm25   holdout_120d                     D+3      19.24   -0.633
 6358 Mandir Marg                pm10   fold_1_stubble_oct_nov_2025      D+2      89.96    0.248
 6358 Mandir Marg                pm10   fold_1_stubble_oct_nov_2025      D+3      88.26    0.243
 6358 Mandir Marg                pm10   fold_2                           D+2      78.35    0.429
 6358 Mandir Marg                pm10   fold_2                           D+3      76.45    0.455
 6358 Mandir Marg                pm10   fold_3                           D+2      45.15    0.245
 6358 Mandir Marg                pm10   fold_3                           D+3      46.73    0.187
 6358 Mandir Marg                pm10   holdout_120d                     D+2     126.32   -0.087
 6358 Mandir Marg                pm10   holdout_120d                     D+3     126.61   -0.086
 6358 Mandir Marg                no2    fold_1_stubble_oct_nov_2025      D+2      17.79    0.627
 6358 Mandir Marg                no2    fold_1_stubble_oct_nov_2025      D+3      18.18    0.632
 6358 Mandir Marg                no2    fold_2                           D+2      20.13    0.697
 6358 Mandir Marg                no2    fold_2                           D+3      21.84    0.642
 6358 Mandir Marg                no2    fold_3                           D+2      18.55    0.416
 6358 Mandir Marg                no2    fold_3                           D+3      20.35    0.293
 6358 Mandir Marg                no2    holdout_120d                     D+2       8.39    0.351
 6358 Mandir Marg                no2    holdout_120d                     D+3       9.23    0.216
 6358 Mandir Marg                o3     fold_1_stubble_oct_nov_2025      D+2      12.74   -0.084
 6358 Mandir Marg                o3     fold_1_stubble_oct_nov_2025      D+3      12.48   -0.061
 6358 Mandir Marg                o3     fold_2                           D+2      12.61    0.263
 6358 Mandir Marg                o3     fold_2                           D+3      12.10    0.318
 6358 Mandir Marg                o3     fold_3                           D+2      18.33   -0.092
 6358 Mandir Marg                o3     fold_3                           D+3      20.53   -0.363
 6358 Mandir Marg                o3     holdout_120d                     D+2      12.06    0.002
 6358 Mandir Marg                o3     holdout_120d                     D+3      11.58    0.087
 6358 Mandir Marg                so2    fold_1_stubble_oct_nov_2025      D+2      23.95    0.333
 6358 Mandir Marg                so2    fold_1_stubble_oct_nov_2025      D+3      26.93    0.168
 6358 Mandir Marg                so2    fold_2                           D+2      22.93    0.430
 6358 Mandir Marg                so2    fold_2                           D+3      25.37    0.302
 6358 Mandir Marg                so2    fold_3                           D+2      13.08   -0.872
 6358 Mandir Marg                so2    fold_3                           D+3      12.65   -0.652
 6358 Mandir Marg                so2    holdout_120d                     D+2      18.77   -0.080
 6358 Mandir Marg                so2    holdout_120d                     D+3      19.17   -0.141
 6359 Vivek Vihar                pm25   fold_3                           D+2     127.56    0.099
 6359 Vivek Vihar                pm25   fold_3                           D+3     127.70    0.089
 6359 Vivek Vihar                pm25   holdout_120d                     D+2      31.69    0.092
 6359 Vivek Vihar                pm25   holdout_120d                     D+3      31.77    0.095
 6359 Vivek Vihar                pm10   fold_3                           D+2      41.05    0.284
 6359 Vivek Vihar                pm10   fold_3                           D+3      46.47    0.075
 6359 Vivek Vihar                pm10   holdout_120d                     D+2      70.00   -0.590
 6359 Vivek Vihar                pm10   holdout_120d                     D+3      69.44   -0.571
 6359 Vivek Vihar                no2    fold_3                           D+2      11.61   -0.263
 6359 Vivek Vihar                no2    fold_3                           D+3      11.78   -0.305
 6359 Vivek Vihar                no2    holdout_120d                     D+2      13.61    0.247
 6359 Vivek Vihar                no2    holdout_120d                     D+3      14.32    0.169
 6359 Vivek Vihar                o3     fold_3                           D+2      13.13    0.281
 6359 Vivek Vihar                o3     fold_3                           D+3      13.58    0.225
 6359 Vivek Vihar                o3     holdout_120d                     D+2      18.92   -0.287
 6359 Vivek Vihar                o3     holdout_120d                     D+3      18.84   -0.266
 6359 Vivek Vihar                so2    fold_3                           D+2       3.33    0.129
 6359 Vivek Vihar                so2    fold_3                           D+3       3.44    0.065
 6359 Vivek Vihar                so2    holdout_120d                     D+2       2.33   -0.368
